//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//我用的是电视猫免费外链平台生成的链接
//这个平台的地址是：http://qidu.tk
//电视猫官网：http://www.iptv6.top
//官网还有各种实用软件哦！
//交流反馈群：549039505







世界杯,#genre#
Clarity4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
爱自然,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
MUZZIKZZ40004K,http://muzzik-live.morescreens.com/mts-a6/playlist.m3u8
loupe4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
BloombergTV+4K,https://bloomberg-bloombergtv-1-gb.samsung.wurl.com/manifest/playlist.m3u8
CCTV5-高清(1),http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-高清,http://zb.iptv6.top/gg/gg1/dsm.m3u8
CCTV5-高清(2),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-高清((4),http://111.29.9.37:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&amp;livemode=1&amp;IASHttpSessionId=OTT2197120221119175523009763&amp;channel-id=ystenlive&amp;Contentid=1000000005000025222
CCTV5-高清((5),http://111.29.9.42:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&amp;livemode=1&amp;IASHttpSessionId=OTT2197120221119175523009763&amp;channel-id=ystenlive&amp;Contentid=1000000005000025222
五星体育(1),http://60.213.135.147/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育(2),http://14.205.73.133/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育(3),http://111.29.9.48:6610/000000001000/5000000010000017540/index.m3u8?channel-id=bestzb&amp;Contentid=5000000010000017540&amp;livemode=1&amp;stbId=3
BTV冬奥记实际-8KSDR源,http://111.62.156.15/down.brtvcloud.com/brtv8kapptv/brtv8kapp8ktv.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
纯享4K,http://111.20.105.192:6610/000000001000/1000000004000011651/index.m3u8?channel-id=ystenlive&amp;Contentid=1000000004000011651&amp;livemode=1&amp;stbId=3
欢笑剧场4K,http://111.20.105.192:6610/000000001000/5000000007000010001/index.m3u8?channel-id=bestzb&amp;Contentid=5000000007000010001&amp;livemode=1&amp;stbId=3
CCTV16-1080P-HLG源,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
4K-TEST,https://cdn.jsdelivr.net/gh/youshandefeiyang/IPTV/telegram/introduce.m3u8
4K影视1,http://111.20.105.192:6610/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&amp;Contentid=6000000003000004748&amp;livemode=1&amp;stbId=3
4K影视2,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8
咪咕体育-4K-HLG源,http://39.135.41.243/PLTV/88888888/224/3221226716/index.m3u8?hls
Fashion4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Clarity4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
爱自然,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
MUZZIKZZ40004K,http://muzzik-live.morescreens.com/mts-a6/playlist.m3u8
loupe4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
BloombergTV+4K,https://bloomberg-bloombergtv-1-gb.samsung.wurl.com/manifest/playlist.m3u8
斗鱼4K,http://epg.112114.xyz/douyu/9249162
斗鱼4K,http://epg.112114.xyz/douyu/9249162
CCTV5-高清(1),http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-高清(2),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-高清(4),http://111.29.9.37:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&amp;livemode=1&amp;IASHttpSessionId=OTT2197120221119175523009763&amp;channel-id=ystenlive&amp;Contentid=1000000005000025222
CCTV5-高清(5),http://111.29.9.42:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&amp;livemode=1&amp;IASHttpSessionId=OTT2197120221119175523009763&amp;channel-id=ystenlive&amp;Contentid=1000000005000025222
五星体育(1),http://60.213.135.147/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育(2),http://14.205.73.133/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/
緯來體育,http://198.16.64.10:8278/videolandsport/playlist.m3u8?tid=MA6A1192684511926845&ct=19226&tsum=0b7ca9a61e7371df68108a27dc358c68
愛爾達體育1台,http://198.16.64.10:8278/eltasport_twn/playlist.m3u8?tid=MB5B8133126081331260&ct=19225&tsum=5cb9d121709b107014d31cf856f3572e
博斯網球,http://50.7.220.74:8278/bositennis_twn/playlist.m3u8?tid=m60f4fd9da4d1&ct=18335&tsum=4d026bfb332da29886aa772f2e149edb
博斯高球,http://198.16.64.10:8278/bosigolf2_twn/playlist.m3u8?tid=MF5F9848925298489252&ct=19225&tsum=2600464749aadbcd55d1c32ec071e36e
博斯高球1,http://50.7.220.74:8278/bosigolf1_twn/playlist.m3u8?tid=MD5D3832704238327042&ct=18393&tsum=cbf3bf749c9b0bf4828ab19efff1c5b0
博斯運動2,http://50.7.220.74:8278/bosisport2_twn/playlist.m3u8?tid=mb50f39eebf51&ct=18335&tsum=4f8960c36a3e7f2b069d574293809283
博斯運動2,http://198.16.64.10:8278/bosisport2_twn/playlist.m3u8?tid=MDBD8051535180515351&ct=19225&tsum=807423eaabbb4cc188843b81db9cd79f
博斯魅力,http://198.16.64.10:8278/bosisport1_twn/playlist.m3u8?tid=MF6F6900999569009995&ct=19225&tsum=1d6e966a02c88867f2a3234f3a980b7d
博斯網球,http://198.16.64.10:8278/bositennis_twn/playlist.m3u8?tid=MA9A5922328659223286&ct=19225&tsum=c83f112dbae37be6d20618138fddcf77
ELEVEN體育1台,http://198.16.64.10:8278/bs181_japan/playlist.m3u8?tid=MEBE3981057839810578&ct=19225&tsum=d6fa49cd7b45b3bea924647730100283
ELEVEN體育2台,http://61.221.81.93:8078/hls/26/80/esport2.m3u8
ELEVEN體育1台,http://50.7.220.74:8278/golfchannel_twn/playlist.m3u8?tid=m43df9270caf7&ct=18335&tsum=3bcc02e810e7073b86bb40d392e95f23
ELEVEN體育2台,http://198.16.64.10:8278/bsfuji_japan/playlist.m3u8?tid=MEFE1641904216419042&ct=19225&tsum=e49ffeb9a6df295150be1cd8f9b0ea30
ELEVEN3,http://cineapp.org:8000/Fernando/Fernando/7453
ELEVEN1,http://cineapp.org:8000/Fernando/Fernando/7451
智林體育,http://58.99.33.16:1935/liveedge17/live_122_3.stream/chunklist.m3u8
ELEVEN6,http://cineapp.org:8000/Fernando/Fernando/7456
咪咕體育,http://39.135.42.203/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225817/index.m3u8
咪咕體育4K,http://39.135.41.243/PLTV/88888888/224/3221226716/index.m3u8
咪咕籃球,http://39.134.115.163:8080/PLTV/88888910/224/3221226243/index.m3u8
勁爆體育,http://yfsl.vsd.gehua.net.cn/live/JinBaoTiYuHD_6000.m3u8
五星體育,http://112.25.48.70/live/program/live/ssty/4000000/mnf.m3u8
五星體育,http://125.74.5.39/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8
五星體育,http://112.25.48.69/live/program/live/ssty/4000000/mnf.m3u8
新視覺HD,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
新視覺HD,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8?zshangd
新視覺HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225622/index.m3u8
新視覺HD,http://39.135.138.60:18890/PLTV/88888910/224/3221225648/index.m3u8
新視覺HD,http://39.134.115.221:8080/PLTV/88888910/224/3221225622/index.m3u8
新視覺HD,http://39.134.115.221:8080/PLTV/88888910/224/3221225648/index.m3u8
新視覺HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225622/index.m3u8
廣東體育,http://61.143.45.150:9901/tsfile/live/1001_1.m3u8
廣東體育,http://e59abdd420c65d43cc1550d493a88c71.v.smtcdns.net/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel34/2300.m3u8
廣東體育,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel34/1300.m3u8

廣東體育,http://mmitv.top/pltv/itouchtv.php?id=gdty
廣東體育,http://121.51.249.19/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel34/index.m3u8
遼寧體育,http://42.176.185.28:9901/tsfile/live/1007_1.m3u8
4000000/mnf.m3u8
中央频道,#genre#
CCTV1,http://hls.yun.gehua.net.cn:8088/live/CCTV1HD_6000.m3u8
CCTV2,http://hls.yun.gehua.net.cn:8088/live/CCTV2HD_6000.m3u8
CCTV3,http://hls.yun.gehua.net.cn:8088/live/CCTV3HD_6000.m3u8
CCTV4,http://hls.yun.gehua.net.cn:8088/live/CCTV4HD_6000.m3u8
CCTV5,http://hls.yun.gehua.net.cn:8088/live/CCTV5HD_6000.m3u8
CCTV5+,http://hls.yun.gehua.net.cn:8088/live/CCTV5plusHD_6000.m3u8
CCTV6,http://hls.yun.gehua.net.cn:8088/live/CCTV6HD_6000.m3u8
CCTV7,http://hls.yun.gehua.net.cn:8088/live/CCTV7HD_6000.m3u8
CCTV8,http://hls.yun.gehua.net.cn:8088/live/CCTV8HD_6000.m3u8
CCTV9,http://hls.yun.gehua.net.cn:8088/live/CCTV9HD_6000.m3u8
CCTV10,http://hls.yun.gehua.net.cn:8088/live/CCTV10HD_6000.m3u8
CCTV11,http://hls.yun.gehua.net.cn:8088/live/CCTV11HD_2000.m3u8
CCTV12,http://hls.yun.gehua.net.cn:8088/live/CCTV12HD_6000.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,http://hls.yun.gehua.net.cn:8088/live/CCTV13HD_2000.m3u8
CCTV14,http://hls.yun.gehua.net.cn:8088/live/CCTV14HD_6000.m3u8
CCTV15,http://hls.yun.gehua.net.cn:8088/live/CCTV15HD_6000.m3u8
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV17,http://hls.yun.gehua.net.cn:8088/live/CCTV17HD_6000.m3u8
CHC高清电影,http://hls.yun.gehua.net.cn:8088/live/CHCHD_6000.m3u8
CHC动作电影,http://hls.yun.gehua.net.cn:8088/live/Motion_2000.m3u8
CHC家庭影院,http://hls.yun.gehua.net.cn:8088/live/CHC_2000.m3u8
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CCTV风云足球,http://111.20.40.170/PLTV/88888893/224/3221226984/index.m3u8


CCTV1HD,http://yfsl.vsd.gehua.net.cn/live/CCTV1HD_6000.m3u8
CCTV2HD,http://yfsl.vsd.gehua.net.cn/live/CCTV2HD_6000.m3u8
CCTV3HD,http://yfsl.vsd.gehua.net.cn/live/CCTV3HD_6000.m3u8
CCTV4HD,http://yfsl.vsd.gehua.net.cn/live/CCTV4HD_6000.m3u8
CCTV5HD,http://yfsl.vsd.gehua.net.cn/live/CCTV5HD_6000.m3u8
CCTV5+HD,http://yfsl.vsd.gehua.net.cn/live/CCTV5plusHD_6000.m3u8
CCTV6HD,http://yfsl.vsd.gehua.net.cn/live/CCTV6HD_6000.m3u8
CCTV7HD,http://yfsl.vsd.gehua.net.cn/live/CCTV7HD_6000.m3u8
CCTV8HD,http://yfsl.vsd.gehua.net.cn/live/CCTV8HD_6000.m3u8
CCTV9HD,http://yfsl.vsd.gehua.net.cn/live/CCTV9HD_6000.m3u8
CCTV10HD,http://yfsl.vsd.gehua.net.cn/live/CCTV10HD_6000.m3u8
CCTV12HD,http://yfsl.vsd.gehua.net.cn/live/CCTV12HD_6000.m3u8
CCTV13-新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV14HD,http://yfsl.vsd.gehua.net.cn/live/CCTV14HD_6000.m3u8
CCTV15HD,http://yfsl.vsd.gehua.net.cn/live/CCTV15HD_6000.m3u8
CCTV16HD,http://yfsl.vsd.gehua.net.cn/live/CCTV16HD_6000.m3u8
CCTV17HD,http://yfsl.vsd.gehua.net.cn/live/CCTV17HD_6000.m3u8
劲爆体育,http://yfsl.vsd.gehua.net.cn/live/JinBaoTiYuHD_6000.m3u8
卫视频道,#genre#
东南卫视,http://hls.yun.gehua.net.cn:8088/live/FuJian_2000.m3u8
东方卫视,http://hls.yun.gehua.net.cn:8088/live/DongFangHD_6000.m3u8
江苏卫视,http://hls.yun.gehua.net.cn:8088/live/JiangSuHD_6000.m3u8
江西卫视,http://hls.yun.gehua.net.cn:8088/live/
河北卫视,http://hls.yun.gehua.net.cn:8088/live/HeBeiHD_6000.m3u8
浙江卫视,http://hls.yun.gehua.net.cn:8088/live/ZheJiangHD_6000.m3u8
深圳卫视,http://hls.yun.gehua.net.cn:8088/live/ShenZhenHD_6000.m3u8
湖北卫视,http://hls.yun.gehua.net.cn:8088/live/HuBeiHD_6000.m3u8
湖南卫视,http://hls.yun.gehua.net.cn:8088/live/HuNanHD_6000.m3u8
北京卫视,http://hls.yun.gehua.net.cn:8088/live/BTV1HD_6000.m3u8
四川卫视,http://hls.yun.gehua.net.cn:8088/live/SiChuan_2000.m3u8
天津卫视,http://hls.yun.gehua.net.cn:8088/live/TianJinHD_6000.m3u8
安徽卫视,http://hls.yun.gehua.net.cn:8088/live/AnHuiHD_6000.m3u8
山东卫视,http://hls.yun.gehua.net.cn:8088/live/ShanDongHD_6000.m3u8
山西卫视,http://hls.yun.gehua.net.cn:8088/live/ShanXi_2000.m3u8
广东卫视,http://hls.yun.gehua.net.cn:8088/live/GuangDongHD_6000.m3u8
黑龙江卫视,http://hls.yun.gehua.net.cn:8088/live/HeiLongJiangHD_6000.m3u8
广西卫视,http://hls.yun.gehua.net.cn:8088/live/GuangXi_2000.m3u8
重庆卫视,http://hls.yun.gehua.net.cn:8088/live/ChongQing_2000.m3u8
吉林卫视,http://hls.yun.gehua.net.cn:8088/live/JiLinWeiShiHD_1200.m3u8
云南卫视,http://hls.yun.gehua.net.cn:8088/live/YunNan_2000.m3u8
陕西卫视,http://hls.yun.gehua.net.cn:8088/live/ShannXi_2000.m3u8
内蒙古卫视,http://hls.yun.gehua.net.cn:8088/live/NeiMengGu_2000.m3u8
青海卫视,http://hls.yun.gehua.net.cn:8088/live/QingHai_2000.m3u8
宁夏卫视,http://hls.yun.gehua.net.cn:8088/live/NingXia_2000.m3u8
甘肃卫视,http://hls.yun.gehua.net.cn:8088/live/GanSu_2000.m3u8
西藏卫视,http://hls.yun.gehua.net.cn:8088/live/XiZang_2000.m3u8
新疆卫视,http://hls.yun.gehua.net.cn:8088/live/XinJiang_2000.m3u8
贵州卫视,http://hls.yun.gehua.net.cn:8088/live/GuiZhou_2000.m3u8
辽宁卫视,http://hls.yun.gehua.net.cn:8088/live/LiaoNingHD_1200.m3u8


浙江卫视,http://yfsl.vsd.gehua.net.cn/live/ZheJiangHD_6000.m3u8
北京卫视,http://yfsl.vsd.gehua.net.cn/live/BTV1HD_6000.m3u8
广西卫视,http://yfsl.vsd.gehua.net.cn/live/GuangXiHD_6000.m3u8
辽宁卫视,http://yfsl.vsd.gehua.net.cn/live/LiaoNingHD_6000.m3u8
安徽卫视,http://yfsl.vsd.gehua
.net.cn/live/AnHuiHD_6000.m3u8
江苏卫视,http://yfsl.vsd.gehua.net.cn/live/JiangSuHD_6000.m3u8
东方卫视,http://yfsl.vsd.gehua.net.cn/live/DongFangHD_6000.m3u8
湖南卫视,http://yfsl.vsd.gehua.net.cn/live/HuNanHD_6000.m3u8
广东卫视,http://yfsl.vsd.gehua.net.cn/live/GuangDongHD_6000.m3u8
四海钓鱼,http://yfsl.vsd.gehua.net.cn/live/SiHaiDiaoYuHD_2000.m3u8
北京体育休闲,http://yfsl.vsd.gehua.net.cn/live/BTVjishiHD_6000.m3u8
河南卫视,http://yfsl.vsd.gehua.net.cn/live/HeNanHD_6000.m3u8
河北卫视,http://yfsl.vsd.gehua.net.cn/live/HeBeiHD_6000.m3u8
江西卫视,http://yfsl.vsd.gehua.net.cn/live/JiangXiHD_6000.m3u8
天津卫视,http://yfsl.vsd.gehua.net.cn/live/TianJinHD_6000.m3u8
重庆卫视,http://yfsl.vsd.gehua.net.cn/live/ChongQingHD_6000.m3u8
黑龙江卫视,http://yfsl.vsd.gehua.net.cn/live/HeiLongJiangHD_6000.m3u8
吉林卫视,http://yfsl.vsd.gehua.net.cn/live/JiLinWeiShiHD_6000.m3u8
内蒙古卫视,http://yfsl.vsd.gehua.net.cn/live/NeiMengGuHD_2000.m3u8
港台频道,#genre#
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8

翡翠台,http://tvmvip110.club/tvb.php?id=0
 客家电视台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv043
 八大综艺台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv039
 中视菁采台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv064
 TVBS精采台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live086
 爱尔达娱乐台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv070
 靖天综合台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv046
 靖天日本台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv047
 ARIRANG阿里郎频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv079
 LiveABC互动英语频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live030
 达文西频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv018
 ELTV生活英语台,http://47.242.90.42:8080/channel.m3u8?fid=litv-longturn20
 Nick Jr. 儿童频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live032
 尼克儿童频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live105
 翡翠台高清,http://zb.iptv6.top/gg/gg1/dsm.m3u8
 靖天卡通台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv044
 靖洋卡通Nice Bingo,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv057
 i-Fun动漫台,http://47.242.90.42:8080/channel.m3u8?fid=litv-ftv15
 MOMO亲子台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live107
 CN卡通,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live205
 东森购物一台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live047
 镜电视新闻台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv075
 TVBS新闻,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live072
 猪哥亮歌厅秀,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv006
 靖天育乐台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv062
 KLT-靖天国际台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv063
 Nice TV 靖天欢乐台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv054
 靖天资讯台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv065
 中天新闻高清,http://zb.iptv6.top/gg/gg1/dsm.m3u8
 中天全民最大党,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live076
 TVBS欢乐台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv068
 韩国娱乐台 KMTV,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv016
 Lifetime 娱乐频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live029
 电影原声台CMusic,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live031
 TRACE Urban,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv082
 MTV Live HD 音乐频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live025
 Mezzo Live HD,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv083
 CLASSICA 古典乐,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv059
 博斯高球台,http://47.242.90.42:8080/channel.m3u8?fid=litv-longturn05
 博斯运动一台,http://47.242.90.42:8080/channel.m3u8?fid=litv-longturn07
 博斯无限台,http://47.242.90.42:8080/channel.m3u8?fid=litv-longturn10
 博斯网球台,http://47.242.90.42:8080/channel.m3u8?fid=litv-longturn09
 TRACE Sport Stars,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv077
 智林体育台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv101
 时尚运动X,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv014
 车迷TV,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live201
 GINX Esports TV,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv053
 TechStorm,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live109
 Pet Club TV,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live110
 滚动力rollor,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live012
 亚洲旅游台,http://47.242.90.42:8080/channel.m3u8?fid=litv-longturn17
 幸福空间居家台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live206
 Love Nature,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live208
 History 历史频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live026
 HISTORY 2 频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live028
 Smithsonian Channel,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live088
 爱尔达生活旅游台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live120
 LUXE TV Channel,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live121
 TV5MONDE STYLE HD 生活时尚,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live122
 龙华戏剧台,http://47.242.90.42:8080/channel.m3u8?fid=litv-longturn18
 HITS频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live620
 龙华日韩台,http://47.242.90.42:8080/channel.m3u8?fid=litv-longturn11
 八大精彩台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv034
 靖天戏剧台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv058
 靖洋戏剧台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv045
 CI 罪案侦查频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live027
 视纳华仁纪实频道,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv013
 影迷数位纪实台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live023
 金光布袋戏,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live144
 ROCK Extreme,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live138
 采昌影剧台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv049
 靖天映画,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv055
 靖天电影台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv061
 龙华电影台,http://47.242.90.42:8080/channel.m3u8?fid=litv-longturn03
 影迷数位电影台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv011
 amc最爱电影,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv017
 CinemaWorld,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live069
 CATCHPLAY Beyond,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live155
 CATCHPLAY电影台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-4gtv076
 My Cinema Europe HD 我的欧洲电影,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live157
 好消息2台,http://47.242.90.42:8080/channel.m3u8?fid=litv-ftv17
 好消息,http://47.242.90.42:8080/channel.m3u8?fid=litv-ftv16
 大爱二台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live106
 人间卫视,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live008
 半岛国际新闻台,http://47.242.90.42:8080/channel.m3u8?fid=litv-ftv10
 经典电影台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live021
 经典卡通台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live022
 精选动漫台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live024
 华语戏剧台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live005
 华语综艺台,http://47.242.90.42:8080/channel.m3u8?fid=4gtv-live006
斗鱼频道,#genre#

伤感点歌,http://tvmvip110.club/douyu.php?id=3186217
